メニュー名,"価格(税別,円)",主材料,主な調味料,調理方法,テイスティングコメント,ペアリングドリンク,原価(円),原価率(%),在庫,アレルゲン,備考
青唐辛子メンマ,550,"メンマ(60g), ハラペーニョ(10g), 青唐辛子(5g)","ナンプラー(5ml), 蜂蜜(3g), ニンニク(3g), 味の素(少々), 塩(1g), 胡椒(0.5g)",調味料を混ぜ、軽く茹でたメンマを漬けて冷ます。,エスニックな香りと爽やかな辛味でお酒が進む。,Hartenberg Merlot 2021,66,12,あり,"""""",おつまみ
汁なし担々麺,900,"中華麺(120g), 豚挽肉(80g), 長ネギ(20g), 万能ネギ(5g)","醤油(10ml), 米酢(10ml), 砂糖(5g), ねり胡麻(10g), 黒酢(5ml), ラー油(10ml), 花山椒(0.5g), 豆板醤(3g), 甜麺醤(5g), ごま油(5ml)",麺に自家製タレを絡め、肉味噌と薬味をのせる。,香りと辛味の中に旨み。甘辛く煮込んだ肉味噌が複雑に絡む。,山形正宗 純米吟醸 亀ノ尾,66.4,7.4,あり,"""小麦, 大豆, ごま""",〆
赤海老の紹興酒漬け,550,"赤海老, 長ネギ, 万能ネギ","紹興酒, 醤油, みりん, 調理酒, 八角, 山椒, レモン, 鷹の爪, 砂糖",調味料を合わせて煮切り、殻をむいた海老を漬け込む。,プリプリでねっとり、濃厚な生赤海老に浸かって酒が進む味。,光栄菊 希望 無濾過生原酒,192.5,35,あり,"えび,大豆,小麦",前菜
オリジナルソースのよだれ鶏,700,"国産若もも鶏, 生海苔, 万能ネギ","和風出汁, 醤油, みりん, 酒, 米酢, ラー油",鶏ももはブライン液に1日、低温で火入れ。生海苔を佃煮風に煮切りソースに。,しっとり柔らかい鶏と、生海苔の風味×和風の慣れ親しんだ味。,うごのつき 涼風 純米吟醸,245,35,あり,"大豆,小麦",一品料理
春夏冬のオリジナルスパイス唐揚げ,700,"鶏もも肉(100g), 小麦粉(10g), 片栗粉(10g), レモン(1/8個)","醤油(10ml), 調理酒(10ml), にんにく(5g), 生姜(5g), ミックススパイス(2g)",下味→2度揚げ→仕上げにオリジナルスパイス。,外はカリッと中はジューシー。スパイス香で食欲増進。,URLAR Sauvignon Blanc Moon Drops 2025,68,9.7,あり,"""小麦, 大豆""",一品料理
ブラックオリーブとドライトマトのマリネ,550,"ブラックオリーブ, ドライトマト","オリーブオイル, アンチョビ, ベーコン, トマトピューレ, にんにく, 蜂蜜, オレガノ, 鷹の爪",香りを立てたオイルに具材を加えソース状→オリーブと煮る→蜂蜜とオレガノ。冷やして完成。,プッタネスカ風のつまみ。自然な甘味と酸味でワインに合う。,高畠ワイナリー 醸造所限定 メルロー 2021,192.5,35,あり,,おつまみ
鯖のトマト煮込み,800,"鯖(80g), トマトパサータ(60g), しめじ(20g), 玉ねぎ(30g), オリーブオイル(10ml), ニンニク(5g)","白ワイン(15ml), 蜂蜜(3g), 醤油(5ml), ブイヨン(50ml), 胡椒(0.5g), オレガノ(0.5g)",調味料でトマトソースを作り、鯖ときのこを煮込む。,爽やかな酸味と甘みの濃いソースに鯖の旨味。ブイヤベース風。,高畠ワイナリー 醸造所限定 メルロー 2021,122.3,15.3,あり,"""小麦, 大豆""",裏メニュー
豚の生姜煮,700,"豚バラ肉, 玉ねぎ, にんじん, 生姜, 万能ネギ","醤油, 調理酒, 味醂, 砂糖, ほん出汁, 白だし",豚バラは灰汁取りで一度茹で、玉ねぎ半量は甘味出しで炒める。すりおろし野菜と調味料で煮込む。,野菜の甘味と生姜の辛味、豚の旨味が調和。,喜楽長 わかなえ,245,35,あり,"大豆,小麦",一品料理
長芋のニンニク醤油漬け,550,長芋(70g),"醤油(10ml), ニンニク(2g), 砂糖(2g), みりん(5ml)",調味液に皮を剥いた長芋を1〜2日漬ける。,シャキシャキ食感とニンニクの風味。辛味が味を引き締める。,Hartenberg Merlot 2021,33.9,6.2,あり,"""小麦, 大豆""",おつまみ
いぶりがっこチーズ,550,"いぶりがっこ(30g), クリームチーズ(25g)",黒胡椒(少々),いぶりがっこにクリームチーズを挟む。,食感とコク、塩味と甘みのバランスでお酒が進む。,Bread & Butter Cabernet Sauvignon 2023,64,11.6,あり,"""乳""",おつまみ
季節のお刺身盛り合わせ,800,"鯛, タコ, しめ鯖, つぶ貝, 大葉, わさび（季節で変更あり）","刺身醤油, 紹興酒, 麺つゆ",魚を捌き盛り付け。つぶ貝は紹興酒ベースの自家製ダレで漬け。,新鮮な旨みと下処理・下味で見栄えも楽しい。,PILPIL（ピルピル）,280,35,あり,"大豆,小麦",前菜
鱈白子の天ぷら,700,"鱈白子(80g), 天ぷら粉(20g), 米油(適量), レモン(1/8個)",塩(1g),下処理・下茹で後、衣をつけて揚げ、あごだし塩。,表面サクッと中はプリッとねっとり。癖がなく上品。,喜楽長 わかなえ,200.1,28.6,あり,"""小麦""",裏メニュー
砂肝のコンフィ,700,"砂肝(80g), オリーブオイル(10ml), ニンニク(3g)","塩(1g), パプリカパウダー(0.5g), タイム(0.2g)",塩1.8%/砂糖0.9%でマリネ→油と赤ワイン・香辛料で80〜90℃×2時間→提供前に表面を焼く。,しっとり柔らかくジューシー。香ばしさとスパイス香がお酒に合う。,高畠ワイナリー 醸造所限定 メルロー 2021,68.9,9.8,あり,"""""",裏メニュー
ごぼうの唐揚げ,700,"ごぼう(80g), 片栗粉(10g), 米油(適量)","醤油(5ml), 酒(5ml), みりん(5ml), にんにく(少々), 塩(少々)",下味をつけたごぼうに片栗粉をまぶし、180℃の油でカラッと揚げる。仕上げに塩をふる。,外はカリッと香ばしく、中はホクッとした食感。ごぼうの香りと旨味が広がる一品。,瀧自慢 神の穂80,210.5,30.1,あり,"小麦,大豆",前菜
いちぢくバター,700,"乾燥いちぢく(30g), バター(50g), バケット(3枚)","三温糖(3g), ブランデー(5ml), 粗塩(少々)",刻んだ乾燥いちぢくをブランデーと三温糖で軽く煮て、柔らかくしたバターに混ぜる。冷やし固めてスライスし、バケットにのせる。,バターのコクといちぢくの甘酸っぱさが絶妙。ワインの酸味と相まって贅沢な余韻が広がる。,高畠ワイナリー メルロー2021,221.4,31.6,あり,乳,おつまみ
あきない流冷やし中華,900,中華麺(120g)、鶏もも肉(50g)、鶏胸肉(50g)、半熟卵(1/2個)、ミニトマト(2個)、もやし(30g)、青ねぎ(適量)、紅しょうが(少々),醤油ダレ(20ml)、酢(10ml)、ごま油(5ml)、砂糖(3g)、からし(少々),鶏もも肉・胸肉を低温調理でしっとり仕上げ、中華麺を冷水で締める。特製醤油ダレを絡め、具材を彩りよく盛り付ける。,鶏の旨味と酸味のバランスが絶妙。からしが全体を引き締め、夏らしい爽快な味わい。,甲州ブラン ヌーヴォー 2025,315,35,なし,"卵,小麦,大豆",〆
肉味噌ピーマン,550,ピーマン(2個)、合挽き肉(80g),豆板醤(3g)、甜麺醤(5g)、白味噌(5g)、豆豉醬(3g)、醤油(5ml)、みりん(5ml)、砂糖(2g)、ごま油(2ml)、ニンニク(1片)、生姜(3g)、花山椒(少々),ピーマンは火を入れず生のまま使用し、香味野菜と数種の醤を合わせたピリ辛肉味噌を炒めて詰める。,シャキッとした生ピーマンの苦味と、旨味と辛味が重なる濃厚な肉味噌のバランスが絶妙。後引く辛さが心地よい。,高畠ワイナリー メルロー2021,156.8,28.5,あり,"小麦,大豆,ごま",前菜
スパイシータコガーリック,800,茹でタコ(80g)、バケット(3枚)、青ねぎ(5g)、赤唐辛子(1本),オリーブオイル(30ml)、にんにく(5g)、醤油(5ml)、塩(少々)、黒胡椒(少々),にんにくとオリーブオイルで香りを出し、輪切り唐辛子を加えてタコを軽く煮る。熱々のオイルごと器に盛り、青ねぎを散らす。,ピリッとした唐辛子とにんにくの香りが食欲をそそる。タコの弾力とオイルのコクが調和し、バケットとの相性も抜群。,高畠ワイナリー 醸造所限定 メルロー2021,273.6,34.2,あり,"小麦,大豆,ごま",一品料理
塩豚もつ煮込み,700,"豚もつ(100g), 大根(60g), 人参(40g), 長ねぎ(10g)","塩(2g), にんにく(1片), 生姜(5g), 酒(20ml), 味噌(5g), ごま油(少々)",下処理した豚もつを酒と生姜で茹でこぼし、野菜と共に煮込む。塩と少量の味噌で味を整え、ごま油で風味を仕上げる。,もつの旨味がしっかりと溶け込んだ塩ベースの澄んだスープ。野菜の甘みと脂のコクが絶妙に調和した一品。,瀧自慢 神の穂80,230.6,32.9,あり,"大豆,ごま",一品料理
豚生姜煮玉子とじ丼,900,"豚バラ肉(100g), 玉ねぎ(50g), 卵(2個), ごはん(200g), 紅生姜(10g), 青ねぎ(5g)","生姜(10g), 醤油(15ml), みりん(15ml), 酒(15ml), 砂糖(5g), 和風だし(50ml), 黒胡椒(少々)",豚肉と玉ねぎを生姜と調味料で煮込み、溶き卵でとじて丼に盛り付ける。仕上げに青ねぎと紅生姜を添える。,豚の旨味と生姜の香りが食欲をそそる、まろやかで温かみのある味わい。卵のふんわり感と甘辛いタレがご飯によく合う。,瀧自慢 神の穂80,315.2,35,あり,"卵,小麦,大豆",〆
気まぐれカレー,900,"牛すじ肉(80g), 玉ねぎ(50g), かぼちゃ(30g), ほうれん草(20g), しめじ(20g), ミニトマト(15g), ご飯(150g)","カレールウ(40g), ニンニク(5g), 生姜(5g), 醤油(5ml), 酒(5ml), みりん(5ml), 黒胡椒(少々), レモン(1切れ)",牛すじと野菜をじっくり煮込み、カレールウでまとめる。ご飯と一緒に盛り付け、レモンを添える。,とろりとしたコクとスパイスの香りが広がるカレー。野菜の甘みと酸味のバランスが絶妙。,高畠ワイナリー メルロー2021,310.5,34.5,あり,"小麦,乳,大豆",〆
もつ鍋,1200,"牛もつ(150g), キャベツ(100g), ニラ(30g), にんにく(5g)","醤油(20ml), みりん(10ml), 酒(10ml), だし(200ml), 鷹の爪(少々)",牛もつと野菜を鍋に盛り、特製だしと調味料を加えて煮込む。にんにくと鷹の爪で風味を立たせる。,ぷりぷりのもつに旨味が溶け込み、濃厚ながら後口は軽いバランスのよい味わい。野菜の甘みも引き立つ一品。,純米吟醸 KENICHIRO 雄町 火入れ,420,35,あり,"小麦,大豆",裏メニュー
牡蠣の海鮮痛風みかん鍋,1300,"牡蠣(80g), 白子(70g), 木綿豆腐(80g), えのき(50g), 白菜(60g), にんじん(20g), みかん(50g)","だし(150ml), 醤油(10ml), みりん(10ml), 酒(10ml), 塩(2g)",鍋にだしと調味料を合わせ、野菜・豆腐・牡蠣・白子を加えて弱火で煮込む。仕上げにみかんをのせて香りを移す。,海鮮の旨味にみかんの爽やかさが重なり、濃厚ながら後味は軽やか。白子のとろみと牡蠣の風味が深い余韻をつくる。,喜楽長 わかなえ,455,35,あり,大豆,裏メニュー
お任せ前菜盛り合わせ,1000,"海老(20g), 筍煮(40g), 出汁巻き卵(30g), 黒豆旨煮(20g)","醤油(5ml), 酒(5ml), みりん(5ml), 砂糖(2g), 出汁(10ml)",盛り付け/日替わりで調理内容が変わります,日替わりの前菜を少量ずつ盛り合わせた酒肴プレート。海老の旨味、筍の食感、出汁巻きの優しい甘みがバランス良く楽しめる。,喜楽長 わかなえ,115,11.5,あり,"えび,卵,大豆,小麦",裏メニュー
自家製ベーコン,550,豚バラ肉(80g)、水菜(10g)、粒マスタード(10g),塩(1g)、黒胡椒(1g)、タイム(1g),ベーコンを低温で燻製し、表面を香ばしく焼き付けて盛り付け,香ばしい脂の旨味とスモーク香が広がる、ビールにも日本酒にも合う万能おつまみ,山形正宗 亀ノ尾,193,35.1,あり,,前菜