ジャンル,商品名,ペアリング料理,在庫,香りノート,味わい,ボディ,推奨提供温度,推奨グラス,一言コピー
日本酒,滝自慢,煮込んだ鶏肉,なし,柑橘、白い花、米のふくらみ,すっきり辛口、きれいな酸、後味は端正,ライト〜ミディアム,8〜12°C,香りが立つ小ぶりの猪口／白ワイングラス,清潔感のあるキレで旨味を引き上げる
白ワイン,PILPIL（ピルピル）,お刺身盛り合わせ,あり,レモンピール、ハーブ、わずかな塩味のニュアンス,辛口で直線的、ミネラル感が長く続く,ライト〜ミディアム,8〜10°C,白ワイングラス（チューリップ型）,刺身の繊細さに寄り添うクリーンな酸
日本酒,うごのつき 涼風 純米吟醸,冷しゃぶ;鰹のたたき,なし,青りんご、メロン、ラムネの爽やかさ,みずみずしく軽快、余韻は爽涼,ライト,6〜8°C,小ぶりワイングラス／平杯,夏風のように軽やかな涼感
日本酒,喜楽長 わかなえ,淡白な白身魚の刺身;春野菜の天ぷら,あり,白い花、青りんご、米由来のやさしい甘香,なめらかで品良く、後半はシャープに収束,ライト〜ミディアム,8〜10°C,香り系お猪口／白ワイングラス,繊細な旨味と春野菜にベストマッチ
日本酒,純米吟醸 KENICHIRO 雄町 火入れ,鴨ロースの燻製,あり,熟したメロン、米麹、ナッツのニュアンス,ふくよかで厚み、酸が骨格を作る,ミディアム〜フル,12〜15°C,中庸のワイングラス（ブルゴーニュ寄り）,雄町らしいボリュームで燻香に負けない
日本酒,山形正宗 純米吟醸 亀ノ尾,鰹のたたき;出汁巻き玉子,あり,柑橘ピール、白胡椒、ミネラル,ドライな口当たり、きめ細かい旨味,ミディアム,10〜12°C,白ワイングラス,シャープな切れ味と米の芯
日本酒,明鏡止水 生もと純米大吟醸 山恵錦,鴨ロースの燻製,あり,白桃、洋梨、ほのかな乳酸由来の奥行き,しっとり上品、余韻は絹のよう,ミディアム,10〜12°C,大吟醸グラス／香り系お猪口,静謐で瑞々しい気品
日本酒,光栄菊 希望 無濾過生原酒,鰹のたたき,あり,トロピカルフルーツ、白葡萄、微発泡感,ジューシーで高めの酸、フレッシュで躍動的,ミディアム,6〜8°C,小ぶり白ワイングラス,果実味爆発のモダン純米
白ワイン,Borgoletto Soave DOC 2024,カルパッチョ;白身魚のグリル,なし,洋梨、白い花、アーモンドの皮,辛口、しなやかな質感、ほのかな塩味,ライト〜ミディアム,8〜10°C,白ワイングラス,ガルガネーガの端正なミネラル
白ワイン,Munir Catarratto Sicilia DOC 2023,アサリの白ワイン蒸し;イカのマリネ,なし,レモンゼスト、地中海ハーブ、海風のニュアンス,クリスプで塩味が心地よい、余韻はドライ,ライト〜ミディアム,8〜10°C,白ワイングラス,シチリアの風を感じるクリーンな辛口
白ワイン,URLAR Sauvignon Blanc Moon Drops 2025,牡蠣のレモン添え;白身魚のカルパッチョ;柚子香る塩唐揚げ,あり,グーズベリー、パッションフルーツ、レモングラス,高い酸でシャープ、瑞々しい果実が弾ける,ライト,8〜10°C,白ワイングラス,NZ的フレッシュさで牡蠣無双
白ワイン,勝沼 甲州ブラン ヌーヴォー 2025,鰆の幽庵焼き;牡蠣の酒蒸し;柚子塩唐揚げ,あり,柚子、白桃、若草、微細な発泡感,ドライ寄りでピュア、ほろ苦が心地よい,ライト,6〜8°C,甲州向け小ぶりグラス,初摘みの透明感をそのままに
白ワイン,甲州ブラン ヌーヴォー 2025（Koshu Blanc Nouveau 2025）,牡蠣の酒蒸し;白身魚のカルパッチョ,あり,ライム、白い花、白胡椒,軽快・辛口、ミネラル主体で清冽,ライト,6〜8°C,白ワイングラス（小）,旬の甲州、キリッと澄んだ一本
白ワイン,甲州にごり 2025,鰤の柚庵焼き;牡蠣の酒蒸し;白身魚のカルパッチョ,あり,蒸し米、レモンカード、うすにごりの酵母香,やわらかな口当たり、旨味と酸の調和,ライト〜ミディアム,6〜8°C,中庸の白ワイングラス,うすにごりの優しいテクスチャー
白ワイン,アルガーノ 甲州 ヌーボー 2025（白）,牡蠣の酒蒸し;真鯛のカルパッチョ;湯葉刺し;白身魚の塩焼き,あり,柑橘ピール、白桃、ほのかなハーブ、微発泡感,ピュアで端正、苦味がアクセント,ライト,6〜8°C,白ワイングラス（小）,甲州ヌーボーの王道的バランス
赤ワイン,高畠ワイナリー 醸造所限定 メルロー 2021,牛ほほ肉の赤ワイン煮込み,あり,カシスやプラムの果実香と樽のバニラ香,凝縮感と滑らかさのバランス,ミディアム〜フル,16〜18℃,ボルドーグラス,山形の丘が生む深紅のメルロー
赤ワイン,La Stella Fortissimo 2015,牛ほほ肉の赤ワイン煮込み,あり,カシスやプラムの果実香とチョコ・バニラのニュアンス,濃厚で滑らかなタンニンと長い余韻,フルボディ,16〜18℃,ボルドーグラス,北の星が奏でる、情熱のフォルティッシモ。
赤ワイン,Sea Ridge Cabernet Sauvignon 2018,牛ハラミ網焼き／ガーリックバター仕立て,あり,ブラックベリー・カシス・バニラ・スパイス,熟した果実の甘みと程よい酸味・タンニン,ミディアム～ミディアムヘヴィ,16〜18℃,大ぶり赤ワイングラス,「海風と果実が出会うカリフォルニアカベルネ」
赤ワイン,Petite Cellar Zinfandel 2019,焼き肉／グリルステーキ／濃い煮込み,あり,ブラックベリー・チェリー・黒胡椒,豊かな果実味＆スパイスの余韻,ミディアム〜フル,16〜18℃,赤ワイングラス,果実の濃みとスパイスが躍るカリフォルニアZin
赤ワイン,JAJAUMA Muscat Bailey A 2024,自家製ローストビーフ薄切り＋山葵,あり,苺・クランベリー・ハーブ,優しいタンニン・穏やかな酸味,ミディアム,14-16℃,赤ワイングラス,足利の陽とともに軽やかに響く赤
赤ワイン,Bread & Butter Cabernet Sauvignon 2023,グリルリブアイ／ブルーチーズバーガー／マッシュルームピザ,あり,モカ・ブラックカラント・トーステッドオーク・バニラ,熟したベリーとチョコレートカバーされたチェリー、ソフトタンニン,ミディアム〜フル,16〜18℃,赤ワイングラス,「パンとバターのように日常に溶け込む“気軽に楽しむカリフォルニア赤”」
赤ワイン,イタムローニュ ピノ・ノワール 2024,鶏ももハーブ焼き＋バターソース,あり,レッドベリー・カシス・軽やかなスパイス,爽やかな酸味と柔らかタンニン,ライト〜ミディアム,14〜16℃,ブルゴーニュグラス,冷涼地が育む透明感あるピノ
赤ワイン,Hartenberg Merlot 2021,豚のパン粉揚げ マスタードクリームソース,あり,スモーキー／赤い果実／リコリス,シルキーでタルトチェリー×ヴァニラ／細やかなタンニン,ミディアム〜フル,16-18℃,赤ワイン用グラス（ボルドータイプ）,「ステレンボッシュが映す深紅の旅」